original_order,file,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier,stem,nullovert,pre/post,animacy,person,number,tma,reference_utt,reference_turn,embedding,notes,
1,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,12,.,di bye@s:eng .%mor: imp|deci-2S&IMP=say L2|bye .,%mor:,0,,,,0,0,0,,,,,
2,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,14,?,quieres que te platique ?%mor: v|quere-2S&PRES=want pro:rel|que=that pro:obj|te=you v|platica-13S&SUB&PRES=talk ?,%mor:,0,,,,0,0,0,,,,,
3,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,14,v|quere-2s&pres=want,quieres que te platique ?%mor: v|quere-2S&PRES=want pro:rel|que=that pro:obj|te=you v|platica-13S&SUB&PRES=talk ?,%svd:,querer,0,,1,2,s,pres,,,,,
4,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,14,v|platica-13s&sub&pres=talk,quieres que te platique ?%mor: v|quere-2S&PRES=want pro:rel|que=that pro:obj|te=you v|platica-13S&SUB&PRES=talk ?,%svd:,platicar,0,,1,1,s,sub&pres,switch,switch,,,
5,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,17,?,te cuento el cuento ?%mor: pro:obj|te=you n|cuento&m=story det:art|el&m&SG=the n|cuento&m=story ?,%mor:,0,,,,0,0,0,,,,,
6,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,17,v|conta-1S&PRES=count,te cuento el cuento ?%mor: pro:obj|te=you v|conta-1S&PRES=count det:art|el&m&SG=the n|cuento&m=story ?,%svd:,contar,0,,1,1,S,PRES,,same,,,
7,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,20,.,&mhmm .,%mor:,0,,,,0,0,0,,,,,
8,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,21,?,sí ?%mor: co|sí=yes ?,%mor:,0,,,,0,0,0,,,,,
9,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,23,?,tú ya sabes leer no ?%mor: pro:sub|tú=you adv|ya=already v|sabe-2S&PRES=know inf|lee-INF=read adv|no=no ?,%mor:,0,,,,0,0,0,,,,,
10,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,23,v|sabe-2s&pres=know,tú ya sabes leer no ?%mor: pro:sub|tú=you adv|ya=already v|sabe-2S&PRES=know inf|lee-INF=read adv|no=no ?,%svd:,saber,1,,1,2,s,pres,,,,,
11,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,26,.,"&hmm no sé en cuá(l), no sé cuál es las let(r)as .%mor: adv|no=no v|sabe-1S&PRES=know prep|en=in pro:int|cuál=which cm|cm co|no=no v|sabe-1S&PRES=know pro:int|cuál=which cop|se-3S&PRES=be det:art|el&f-PL=the n|letra&f-PL=letter .",%mor:,0,,,,0,0,0,,,,,
12,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;10,.,Target_Child,.,.,26,v|sabe-1s&pres=know,"&hmm no sé en cuá(l), no sé cuál es las let(r)as .%mor: adv|no=no v|sabe-1S&PRES=know prep|en=in pro:int|cuál=which cm|cm co|no=no v|sabe-1S&PRES=know pro:int|cuál=which cop|se-3S&PRES=be det:art|el&f-PL=the n|letra&f-PL=letter .",%svd:,saber,na,na,na,na,na,na,na,na,na,false start,
13,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;10,.,Target_Child,.,.,26,v|sabe-1s&pres=know,"&hmm no sé en cuá(l), no sé cuál es las let(r)as .%mor: adv|no=no v|sabe-1S&PRES=know prep|en=in pro:int|cuál=which cm|cm co|no=no v|sabe-1S&PRES=know pro:int|cuál=which cop|se-3S&PRES=be det:art|el&f-PL=the n|letra&f-PL=letter .",%svd:,saber,na,na,na,na,na,na,na,na,na,exclude,
14,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;10,.,Target_Child,.,.,26,cop|se-3s&pres=be,"&hmm no sé en cuá(l), no sé cuál es las let(r)as .%mor: adv|no=no v|sabe-1S&PRES=know prep|en=in pro:int|cuál=which cm|cm co|no=no v|sabe-1S&PRES=know pro:int|cuál=which cop|se-3S&PRES=be det:art|el&f-PL=the n|letra&f-PL=letter .",%svd:,ser,wh,,0,3,s,pres,,,,,
15,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,30,?,no pero ésa ya te sabes las letras no ?%mor: co|no=no conj|pero=but pro:dem|ése-f=that_one adv|ya=already pro:obj|te=you v|sabe-2S&PRES=know det:art|el&f-PL=the n|letra&f-PL=letter adv|no=no ?,%mor:,0,,,,0,0,0,,,,,
16,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,30,v|sabe-2s&pres=know,no pero ésa ya te sabes las letras no ?%mor: co|no=no conj|pero=but pro:dem|ése-f=that_one adv|ya=already pro:obj|te=you v|sabe-2S&PRES=know det:art|el&f-PL=the n|letra&f-PL=letter adv|no=no ?,%svd:,saber,0,,1,2,s,pres,,,,,
17,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,34,.,yo que no sé .%mor: pro:sub|yo=I pro:rel|que=that adv|no=no v|sabe-1S&PRES=know .,%mor:,0,,,,0,0,0,,,,,
18,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;10,.,Target_Child,.,.,34,v|sabe-1s&pres=know,yo que no sé .%mor: pro:sub|yo=I pro:rel|que=that adv|no=no v|sabe-1S&PRES=know .,%svd:,saber,na,na,na,na,na,na,na,na,na,exclude,
19,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,36,?,no ?%mor: adv|no=no ?,%mor:,0,,,,0,0,0,,,,,
20,SLV-2008-06-18-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,38,.,mira es del changuito mira dice eran las cinco en punto de la tarde todo estaba en calma .%mor: co|mira=look cop|se-3S&PRES=be prep|de~det:art|el&m=of n|changuito-m=little_monkey co|mira=look v|deci-3S&PRES=say cop|se-3P&PAS=be det:art|el&f-PL=the det:num|cinco=five prep|en=in n|punto&m=point_in_time prep|de=of det:art|el&f&SG=the adj|tarde=late det:indef|todo-m=all cop|esta-13S&PAS=be prep|en=in n|calma&f=calm .,%mor:,0,,,,0,0,0,,,,,
