original_order,file,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier
1,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,11,.,que pole@b Juan .%mor: pro:rel|que=that bab|pole n:prop|Juan .,%mor:
2,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,13,.,"chico , a_ver que día es hoy .%mor: n|chico-m=child cm|cm co|a_ver pro:rel|que=that n|día&m=day cop|se-3S&PRES=be adv|hoy=today .",%mor:
3,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,16,.,"hoy es veintinueve de Marzo , así que tienes Jaime tiene un año seis meses y (.) diecisiete .%mor: adv|hoy=today cop|se-3S&PRES=be det:num|veintinueve=twenty_nine prep|de=of n:prop|Marzo cm|cm adv|así=thus pro:rel|que=that v|tene-2S&PRES=have n:prop|Jaime v|tene-3S&PRES=have det:art|un&m=one n|año&m=year det:num|seis=six n|mes&m-PL=month coord|y=and det:num|diecisiete=seventeen .",%mor:
4,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,23,.,y yo (.) y yo cual .%mor: coord|y=and pro:sub|yo=I coord|y=and pro:sub|yo=I pro:rel|cual=which .,%mor:
5,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,26,.,y doce días .%mor: coord|y=and det:num|doce=twelve n|día&m-PL=day .,%mor:
6,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,28,.,y yo .%mor: coord|y=and pro:sub|yo=I .,%mor:
7,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,30,?,"y tu tienes tres años y ocho meses , no ?%mor: coord|y=and det:poss|tu=your v|tene-2S&PRES=have det:num|tres=three n|año&m-PL=year coord|y=and det:num|ocho=eight n|mes&m-PL=month cm|cm co|no ?",%mor:
8,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,34,.,sí .%mor: co|sí=yes .,%mor:
9,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,36,.,"Julio , Agosto , Septiembre , Octubre , Noviembre , Diciembre , Enero Febrero (.) y Marzo y nueve meses .%mor: n:prop|Julio cm|cm n:prop|Agosto cm|cm n:prop|Septiembre cm|cm n:prop|Octubre cm|cm n:prop|Noviembre cm|cm n:prop|Diciembre cm|cm n:prop|Enero n:prop|Febrero coord|y=and n:prop|Marzo coord|y=and det:num|nueve=nine n|mes&m-PL=month .",%mor:
10,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,42,.,sí sí cinco la yo cumplo cinco (.) o seis (.) y ajá siete .%mor: co|sí=yes co|sí=yes det:num|cinco=five det:art|el&f&SG=the pro:sub|yo=I v|cumpli-1S&PRES=accomplish det:num|cinco=five coord|o=or det:num|seis=six coord|y=and co|ajá=aha det:num|siete=seven .,%mor:
11,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,47,?,como es eso a_ver ?%mor: adv|como=like cop|se-3S&PRES=be pro:dem|eso=that_one co|a_ver ?,%mor:
12,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,49,.,mañana ora siete .%mor: adv|mañana=tomorrow v|ora-3S&PRES=pray det:num|siete=seven .,%mor:
13,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,51,?,ahora siete tienes ?%mor: adv|ahora=now det:num|siete=seven v|tene-2S&PRES=have ?,%mor:
14,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,53,.,sí .%mor: co|sí=yes .,%mor:
15,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,55,?,"sí , y mañana ?%mor: co|sí=yes cm|cm coord|y=and adv|mañana=tomorrow ?",%mor:
16,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,57,.,que .%mor: pro:rel|que=that .,%mor:
17,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,59,?,y mañana cuantos ?%mor: coord|y=and n|mañana&f=morning pro:indef|cuanto-m-PL=how_much ?,%mor:
18,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,61,.,cinco .%mor: det:num|cinco=five .,%mor:
19,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,63,?,mañana cinco ?%mor: adv|mañana=tomorrow det:num|cinco=five ?,%mor:
20,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,65,.,"ale [: oye] [*] soy muy mayor mañana , uy no me caigo , de (.) la voltereta .%mor: v|oí-3S&PRES=hear cop|se-1S&PRES=be adv|muy=very adj|mayor=elder n|mañana&f=morning cm|cm co|uy adv|no=no pro:obj|me=me v|cae-1S&PRES=fall cm|cm prep|de=of det:art|el&f&SG=the n|voltereta&f=somersault .",%mor:
21,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,71,?,"oye , lo que no puedes es ir a casa de ese niño con esas uñas eh ?%mor: co|oye=listen cm|cm pro:obj|le-m=him pro:rel|que=that adv|no=no v|pode-2S&PRES=can cop|se-3S&PRES=be inf|i-INF=go prepart|a=to n|casa&f=house prep|de=of det:dem|ese=that co|niño=child prep|con=with det:dem|ese-f-PL=that n|uña&f-PL=tallon co|eh ?",%mor:
22,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,76,.,cual .%mor: pro:rel|cual=which .,%mor:
23,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,78,.,metete .%mor: imp|mete-2S&IMP~pro:clit|2S=put .,%mor:
24,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,80,.,de quien .%mor: prep|de=of pro:rel|quien=who .,%mor:
25,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,82,?,como se llama ese amigo tuyo ?%mor: adv|como=like pro:refl|se=itself v|llama-3S&PRES=call det:dem|ese=that n|amigo-m=friend pro:poss|tuyo-m=yours ?,%mor:
26,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,85,.,eh Çngel .%mor: co|eh n:prop|Çngel .,%mor:
27,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,87,.,no puedes ir a casa de Çngel con esas uñas (.) tan largas y tan sucias .%mor: adv|no=no v|pode-2S&PRES=can inf|i-INF=go prepart|a=to n|casa&f=house prep|de=of n:prop|Çngel prep|con=with det:dem|ese-f-PL=that n|uña&f-PL=tallon adv|tan=such v|larga-2S&PRES=go_away coord|y=and adv|tan=such adj|sucio-f-PL=dirty .,%mor:
28,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,94,.,ven .%mor: co|ven=come .,%mor:
29,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,97,?,mira Jaime ja ja ja donde está Jaime ?%mor: co|mira=look n:prop|Jaime co|ja=ha co|ja=ha co|ja=ha pro:rel|donde=where cop|esta-3S&PRES=be n:prop|Jaime ?,%mor:
30,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,100,.,estoy aquí papa .%mor: cop|esta-1S&PRES=be adv|aquí=here n|papa&f=potato .,%mor:
31,010612.cha,spa,Linaza,JAI,1;06.12,.,.,.,Brother,.,.,102,.,que que .%mor: pro:rel|que=that pro:rel|que=that .,%mor:
32,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,104,.,so niu@b pa .%mor: co|so bab|niu co|pa .,%mor:
33,010612.cha,spa,Linaza,JAI,1;06.12,.,.,.,Brother,.,.,106,.,nona@b ia .%mor: bab|nona imp|i-3S&IMP=go .,%mor:
34,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,108,?,que (.) que ruido es ese que se oye ?%mor: pro:rel|que=that pro:rel|que=that n|ruido&m=noise cop|se-3S&PRES=be det:dem|ese=that pro:rel|que=that pro:refl|se=itself v|oí-3S&PRES=hear ?,%mor:
35,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,112,.,que .%mor: pro:rel|que=that .,%mor:
36,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,114,?,que ruido es ese que se oye ?%mor: pro:rel|que=that n|ruido&m=noise cop|se-3S&PRES=be det:dem|ese=that pro:rel|que=that pro:refl|se=itself v|oí-3S&PRES=hear ?,%mor:
37,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,117,.,el de el viento .%mor: det:art|el&m&SG=the prep|de=of det:art|el&m&SG=the n|viento&m=wind .,%mor:
38,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,120,?,el viento ?%mor: det:art|el&m&SG=the n|viento&m=wind ?,%mor:
39,010612.cha,spa,Linaza,CHI,3;09.,.,.,.,Target_Child,.,.,122,.,sí .%mor: co|sí=yes .,%mor:
40,010612.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,124,?,sí ?%mor: co|sí=yes ?,%mor:
