original_order,file,filetype,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier,stem,nullovert,animacy,person,number,tma,reference_utt,reference_turn,embedding,notes
1,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,14,.,ahí está .%mor: adv|ahí=there cop|esta-3S&PRES=be .,%mor:,0,,,0,0,0,,,,
2,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,14,cop|esta-3s&pres=be,ahí está .%mor: adv|ahí=there cop|esta-3S&PRES=be .,%svd:,estar,0,0,3,s,pres,,,,
3,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,16,?,"bueno, qué querés ?%mor: co|bueno=good cm|cm pro:int|qué=what v|quere-2S&PRES=want ?",%mor:,0,,,0,0,0,,,,
4,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,16,v|quere-2s&pres=want,"bueno, qué querés ?%mor: co|bueno=good cm|cm pro:int|qué=what v|quere-2S&PRES=want ?",%svd:,querer,0,1,2,s,pres,,,,
5,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,18,?,querés armar el rompecabezas ?%mor: v|quere-2S&PRES=want inf|arma-INF=arm det:art|el&m&SG=the n|rompecabezas&m=brainteaser ?,%mor:,0,,,0,0,0,,,,
6,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,18,v|quere-2s&pres=want,querés armar el rompecabezas ?%mor: v|quere-2S&PRES=want inf|arma-INF=arm det:art|el&m&SG=the n|rompecabezas&m=brainteaser ?,%svd:,querer,0,1,2,s,pres,,same,,
7,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,23,?,o queré(s) jugar ese ?%mor: coord|o=or v|quere-2S&PRES=want inf|juga-INF=play det:dem|ese=that ?,%mor:,0,,,0,0,0,,,,
8,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,23,v|quere-2s&pres=want,o queré(s) jugar ese ?%mor: coord|o=or v|quere-2S&PRES=want inf|juga-INF=play det:dem|ese=that ?,%svd:,querer,0,1,2,s,pres,,same,,
9,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,26,.,ese .%mor: det:dem|ese=that .,%mor:,0,,,0,0,0,,,,
10,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,28,v|quere-1s&pres=want,quiero llevar e(s)ta xxx +/.%mor: v|quere-1S&PRES=want inf|lleva-INF=carry det:dem|este-f=this +/.,%mor:,0,,,0,0,0,,,,
10,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,28,v|quere-1s&pres=want,quiero llevar e(s)ta xxx +/.%mor: v|quere-1S&PRES=want inf|lleva-INF=carry det:dem|este-f=this +/.,%svd:,querer,0,1,1,s,pres,,,,
11,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,30,.,"no, jugamos acá dentro .%mor: co|no=no cm|cm v|juga-1P&PRES&PRET=play adv|acá=there adv|dentro=inside .",%mor:,0,,,0,0,0,,,,
12,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,30,v|juga-1p&pres&pret=play,"no, jugamos acá dentro .%mor: co|no=no cm|cm v|juga-1P&PRES&PRET=play adv|acá=there adv|dentro=inside .",%svd:,jugar,0,1,1,p,pres,,,,
13,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,33,?,"la(s) dejo acá un ratito ustedes jugando, querés ?%mor: pro:obj|la&f-PL=she v|deja-1S&PRES=leave adv|acá=there det:art|un&m=one n|rato&m-DIM=rat pro:sub|usted-PL=you part|juga-PROG=play cm|cm v|quere-2S&PRES=want ?",%mor:,0,,,0,0,0,,,,
14,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,33,v|deja-1s&pres=leave,"la(s) dejo acá un ratito ustedes jugando, querés ?%mor: pro:obj|la&f-PL=she v|deja-1S&PRES=leave adv|acá=there det:art|un&m=one n|rato&m-DIM=rat pro:sub|usted-PL=you part|juga-PROG=play cm|cm v|quere-2S&PRES=want ?",%svd:,dejar,0,1,1,s,pres,,,,
15,ABB-LPB-2018-12-10-esp-SDS.cha,chi-mot,spa,change_corpus_later,INV,.,female,.,.,Investigator,.,.,33,v|quere-2s&pres=want,"la(s) dejo acá un ratito ustedes jugando, querés ?%mor: pro:obj|la&f-PL=she v|deja-1S&PRES=leave adv|acá=there det:art|un&m=one n|rato&m-DIM=rat pro:sub|usted-PL=you part|juga-PROG=play cm|cm v|quere-2S&PRES=want ?",%svd:,querer,0,1,2,s,pres,switch,switch,,
